Proptype,Locality,Beginning_value,Ending_value,Year,CAGR(%),Latitude,Longitude,Frequency
PANGSAPURI,1 DESA RESIDENCE,4586.296482,7914.572864,10,5.6079313,3.1055154,101.6921169,83
PANGSAPURI,1 PETALING,2319.698113,4939.02439,8,9.907217409,3.0679665,101.7055396,116
KONDOMINIUM,1 SENTUL,2700.444444,5606.060606,10,7.577699819,3.2000062,101.6895732,179
KONDOMINIUM,10 MON'T KIARA,6889.81186,9181.363517,8,3.654336848,3.1701645,101.655962,216
KONDOMINIUM,11 MONT KIARA,8236.038231,8685.258964,10,0.532490574,3.1687873,101.6550759,132
KONDOMINIUM,162 RESIDENCY,2416.198949,3364.485981,6,5.673073407,3.248177,101.6502858,127
KONDOMINIUM,1A STONOR APT (CONLAY COURT),5604.917235,8607.594937,10,4.383357472,3.15057,101.71773,35
KONDOMINIUM,2 HAMPSHIRE,8074.675325,7500,9,-0.816973817,3.1617803,101.7163094,76
KONDOMINIUM,20 TREES (P/L 500 DAN 501),3591.160221,7241.60632,9,8.104670857,3.219549,101.7518,78
KONDOMINIUM,28 MONT KIARA,8194.011534,7966.556712,8,-0.351271821,3.1735972,101.6530728,113
KONDOMINIUM,288 RESIDENCES,4015.044248,4855.072464,6,3.216920286,3.0807905,101.6878833,62
KONDOMINIUM,288 RESIDENCY,3842.507645,4469.69697,8,1.907915317,3.1968352,101.7075856,86
KONDOMINIUM,3 RESIDEN MELAWATI,4429.430672,5686.27451,9,2.81425281,3.2215674,101.7358282,77
KONDOMINIUM,6 CAPSQUARE,9000,9000,3,0,3.1541815,101.7001324,13
KONDOMINIUM,633 RESIDENCY,6215.096379,6497.252933,6,0.742715039,3.133504,101.6930041,39
KONDOMINIUM,8 PETALING,4678.362573,5090.909091,3,2.856992544,3.0661907,101.6907735,37
PANGSAPURI,ABADI INDAH APARTMENT,1675.227273,4025.974026,10,9.164071043,3.0957633,101.6860525,495
PANGSAPURI,ABADI RIA CONDOMINIUM,3900.70922,5319.148936,8,3.953070492,3.0957141,101.6844737,21
KONDOMINIUM,ABADI VILLA,2143.027984,3982.300885,9,7.127431421,3.0957026,101.6835318,141
PANGSAPURI,AKASIA APARTMENT,1346.555324,2600,9,7.584549391,3.0276854,101.6208613,41
KONDOMINIUM,ALAM PURI 51,2720.076923,5769.230769,9,8.713094578,-8.6085169,115.2381033,125
KONDOMINIUM,ALMASPURI,4336.861769,7483.221477,10,5.606658642,3.169726,101.6525858,73
KONDOMINIUM,ALPHA VILLA,2186.847945,4639.175258,10,7.810787727,36.189886,-115.06833,69
KONDOMINIUM,ALTITUDE 236,5796.407186,6045.652174,6,0.704152408,3.0763034,101.7354661,54
